TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ENGINE,VERSION,ROW_FORMAT,TABLE_ROWS,AVG_ROW_LENGTH,DATA_LENGTH,MAX_DATA_LENGTH,INDEX_LENGTH,DATA_FREE,AUTO_INCREMENT,CREATE_TIME,UPDATE_TIME,CHECK_TIME,TABLE_COLLATION,CHECKSUM,CREATE_OPTIONS,TABLE_COMMENT,MAX_INDEX_LENGTH,TEMPORARY
def,db_1008249002,oauth_personal_access_clients,"BASE TABLE",InnoDB,10,Dynamic,2,8192,16384,0,0,0,3,"2021-12-07 10:58:08",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,oauth_refresh_tokens,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,"2021-12-07 10:58:08",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,password_resets,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,NULL,"2021-12-07 10:58:08",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,plt_common,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2021-12-07 10:58:08",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,return_stock,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:33",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,routing,"BASE TABLE",InnoDB,10,Dynamic,5,3276,16384,0,0,0,6,"2021-12-07 10:58:08",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,sales_ladger,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:33",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,schedulers,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,2,"2021-12-07 10:58:09",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,scheduler_time,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:33",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,trans_batch,"BASE TABLE",InnoDB,10,Dynamic,10960,145,1589248,0,0,4194304,11764,"2021-12-07 10:58:09","2022-08-16 15:56:14",NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,trans_exceldata,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2021-12-07 10:58:09",NULL,NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,trans_exceldata_hdr,"BASE TABLE",InnoDB,10,Dynamic,14814,55546,822870016,0,0,16777216,44581,"2021-12-07 10:58:09","2022-08-16 15:56:15",NULL,utf8mb4_unicode_ci,NULL,,,0,N
def,db_1008249002,trans_stock,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:34",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,trans_stock_manage,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:34",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,trans_stock_summary,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:34",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,trans_trip_dtl,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:35",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
def,db_1008249002,trans_trip_hdr,"BASE TABLE",InnoDB,10,Dynamic,0,0,16384,0,0,0,1,"2022-08-16 16:12:35",NULL,NULL,utf8mb4_general_ci,NULL,,,0,N
