"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE","ENGINE","VERSION","ROW_FORMAT","TABLE_ROWS","AVG_ROW_LENGTH","DATA_LENGTH","MAX_DATA_LENGTH","INDEX_LENGTH","DATA_FREE","AUTO_INCREMENT","CREATE_TIME","UPDATE_TIME","CHECK_TIME","TABLE_COLLATION","CHECKSUM","CREATE_OPTIONS","TABLE_COMMENT","MAX_INDEX_LENGTH","TEMPORARY"
"def","db_ura","audit_logs","BASE TABLE","InnoDB","10","Dynamic","16648","158","2637824","0","0","4194304","19960","2022-08-24 15:19:26","2022-09-16 08:59:22",NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","cron_maintenence","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:27",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","failed_jobs","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","16384","0","1","2022-08-24 15:19:27",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","migrations","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:27",NULL,NULL,"utf8mb4_unicode_ci",NULL,,,"0","N"
"def","db_ura","mst_buyer","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:28",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_cancel_credit_debit_notes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:28",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_comp","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","2","2022-08-24 15:19:28",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_credit_notes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:29",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_debit_notes","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:29",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_device","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0",NULL,"2022-08-24 15:19:30",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_functionality","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:30",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_godown","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0",NULL,"2022-08-24 15:19:30",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
"def","db_ura","mst_invoice","BASE TABLE","InnoDB","10","Dynamic","270","424","114688","0","0","0","33190","2022-08-24 15:19:31","2022-09-16 08:45:47",NULL,"utf8_unicode_ci",NULL,,,"0","N"
"def","db_ura","mst_payment","BASE TABLE","InnoDB","10","Dynamic","0","0","16384","0","0","0","1","2022-08-24 15:19:32",NULL,NULL,"latin1_swedish_ci",NULL,,,"0","N"
